f_1,f_2,f_3,a_1,a_2
100.0,-33.727,15.126,-1.571,0.313
100.0,-30.598,16.958,-1.571,0.431
100.0,-25.611,18.445,-1.571,0.545
100.0,-18.754,19.524,-1.571,0.656
100.0,-10.843,20.186,-1.571,0.757
100.0,-3.237,20.504,-1.571,0.839
100.0,3.101,20.557,-1.571,0.896
100.0,7.932,20.387,-1.571,0.932
100.0,11.406,20.021,-1.571,0.952
100.0,13.776,19.486,-1.571,0.962
100.0,15.289,18.817,-1.571,0.965
100.0,36.619,12.163,-1.498,0.896
100.0,36.139,11.543,-1.47,0.871
100.0,35.393,10.909,-1.44,0.845
100.0,34.414,10.264,-1.408,0.817
100.0,33.228,9.61,-1.374,0.789
100.0,31.857,8.95,-1.339,0.759
100.0,30.32,8.284,-1.302,0.729
100.0,28.637,7.614,-1.265,0.699
100.0,26.829,6.939,-1.226,0.668
100.0,24.916,6.257,-1.188,0.636
100.0,22.92,5.567,-1.149,0.604
100.0,20.863,4.864,-1.112,0.573
100.0,18.767,4.145,-1.076,0.541
100.0,16.652,3.405,-1.041,0.509
100.0,14.538,2.638,-1.009,0.477
100.0,12.442,1.84,-0.978,0.445
100.0,10.381,1.007,-0.95,0.413
100.0,8.368,0.137,-0.925,0.38
100.0,6.413,-0.773,-0.903,0.348
100.0,4.526,-1.72,-0.882,0.316
100.0,2.715,-2.701,-0.865,0.284
100.0,0.985,-3.713,-0.85,0.252
100.0,-0.66,-4.748,-0.836,0.221
100.0,-2.217,-5.8,-0.825,0.19
100.0,-3.687,-6.862,-0.815,0.159
100.0,-5.069,-7.926,-0.807,0.13
100.0,-6.366,-8.987,-0.8,0.101
100.0,-7.583,-10.038,-0.793,0.073
100.0,-8.725,-11.074,-0.787,0.046
100.0,-9.801,-12.09,-0.781,0.021
100.0,-10.82,-13.084,-0.776,-0.002
100.0,-11.797,-14.048,-0.77,-0.023
100.0,-12.744,-14.979,-0.764,-0.042
100.0,-13.68,-15.871,-0.758,-0.057
100.0,-14.621,-16.718,-0.751,-0.069
100.0,-15.585,-17.514,-0.743,-0.076
100.0,-16.587,-18.255,-0.734,-0.078
100.0,-17.641,-18.936,-0.725,-0.074
100.0,-18.755,-19.556,-0.714,-0.065
100.0,-19.93,-20.116,-0.702,-0.049
100.0,-21.158,-20.621,-0.689,-0.028
100.0,-22.427,-21.079,-0.675,-0.003
100.0,-23.713,-21.501,-0.661,0.025
100.0,-24.994,-21.899,-0.646,0.056
100.0,-26.244,-22.285,-0.632,0.086
100.0,-27.441,-22.667,-0.618,0.115
100.0,-28.57,-23.054,-0.605,0.141
100.0,-29.621,-23.451,-0.593,0.165
100.0,-30.591,-23.86,-0.581,0.186
100.0,-31.48,-24.28,-0.571,0.204
100.0,-32.291,-24.712,-0.561,0.219
100.0,-33.032,-25.154,-0.552,0.23
100.0,-33.709,-25.603,-0.544,0.239
100.0,-34.328,-26.058,-0.536,0.246
100.0,-34.896,-26.516,-0.529,0.251
100.0,-35.418,-26.976,-0.522,0.254
100.0,-35.9,-27.436,-0.516,0.256
100.0,-36.345,-27.894,-0.511,0.256
100.0,-36.759,-28.348,-0.506,0.255
100.0,-37.143,-28.797,-0.501,0.253
100.0,-37.501,-29.24,-0.497,0.25
100.0,-37.834,-29.674,-0.493,0.247
100.0,-38.145,-30.1,-0.489,0.243
100.0,-38.435,-30.516,-0.485,0.238
100.0,-38.706,-30.92,-0.482,0.233
100.0,-38.958,-31.312,-0.479,0.228
100.0,-39.193,-31.69,-0.476,0.222
100.0,-39.411,-32.055,-0.473,0.216
100.0,-39.612,-32.403,-0.471,0.21
100.0,-39.798,-32.736,-0.468,0.204
100.0,-39.968,-33.051,-0.466,0.198
100.0,-40.124,-33.349,-0.464,0.192
100.0,-40.265,-33.628,-0.461,0.185
100.0,-40.392,-33.888,-0.459,0.179
100.0,-40.505,-34.127,-0.457,0.173
100.0,-40.605,-34.347,-0.455,0.166
100.0,-40.692,-34.545,-0.454,0.16
100.0,-40.767,-34.721,-0.452,0.154
100.0,-40.83,-34.876,-0.45,0.148
100.0,-40.881,-35.008,-0.448,0.142
100.0,-40.92,-35.118,-0.446,0.136
100.0,-40.949,-35.204,-0.445,0.13
100.0,-40.968,-35.268,-0.443,0.125
100.0,-40.977,-35.309,-0.441,0.119
100.0,-40.977,-35.327,-0.439,0.114
100.0,-40.968,-35.321,-0.438,0.109
100.0,-40.951,-35.293,-0.436,0.104
100.0,-40.925,-35.242,-0.434,0.099
100.0,-40.893,-35.169,-0.432,0.094
100.0,-40.854,-35.074,-0.431,0.089
100.0,-40.808,-34.957,-0.429,0.085
100.0,-40.757,-34.819,-0.427,0.081
100.0,-40.7,-34.661,-0.425,0.076
100.0,-40.638,-34.482,-0.424,0.072
100.0,-40.571,-34.284,-0.422,0.068
100.0,-40.499,-34.068,-0.42,0.064
100.0,-40.424,-33.834,-0.419,0.061
100.0,-40.345,-33.582,-0.417,0.057
100.0,-40.262,-33.315,-0.415,0.054
100.0,-40.175,-33.033,-0.414,0.05
100.0,-40.085,-32.736,-0.412,0.047
100.0,-39.992,-32.426,-0.41,0.044
100.0,-39.896,-32.104,-0.409,0.041
100.0,-39.797,-31.771,-0.407,0.038
100.0,-39.694,-31.427,-0.406,0.035
100.0,-39.588,-31.074,-0.404,0.032
100.0,-39.479,-30.713,-0.403,0.029
100.0,-39.367,-30.346,-0.402,0.026
100.0,-39.251,-29.972,-0.401,0.023
100.0,-39.132,-29.593,-0.399,0.02
100.0,-39.008,-29.209,-0.398,0.018
100.0,-38.881,-28.823,-0.398,0.015
100.0,-38.749,-28.435,-0.397,0.012
100.0,-38.612,-28.046,-0.396,0.009
100.0,-38.471,-27.657,-0.395,0.006
100.0,-38.324,-27.268,-0.395,0.003
100.0,-38.172,-26.881,-0.395,0.0
100.0,-38.014,-26.496,-0.395,-0.003
100.0,-37.85,-26.115,-0.394,-0.006
100.0,-37.68,-25.737,-0.395,-0.01
100.0,-37.503,-25.364,-0.395,-0.014
100.0,-37.319,-24.996,-0.395,-0.017
100.0,-37.127,-24.634,-0.396,-0.022
100.0,-36.928,-24.278,-0.397,-0.026
100.0,-36.722,-23.929,-0.398,-0.031
100.0,-36.507,-23.588,-0.399,-0.036
100.0,-36.284,-23.254,-0.4,-0.041
100.0,-36.054,-22.928,-0.402,-0.046
100.0,-35.815,-22.611,-0.403,-0.052
100.0,-35.567,-22.303,-0.405,-0.058
100.0,-35.312,-22.004,-0.407,-0.065
100.0,-35.048,-21.714,-0.41,-0.072
100.0,-34.776,-21.433,-0.412,-0.079
100.0,-34.497,-21.162,-0.415,-0.086
100.0,-34.21,-20.9,-0.417,-0.094
100.0,-33.915,-20.647,-0.42,-0.102
100.0,-33.614,-20.404,-0.423,-0.111
100.0,-33.307,-20.17,-0.426,-0.12
100.0,-32.994,-19.945,-0.429,-0.128
100.0,-32.675,-19.729,-0.433,-0.138
100.0,-32.352,-19.522,-0.436,-0.147
100.0,-32.025,-19.324,-0.439,-0.156
100.0,-31.695,-19.134,-0.443,-0.166
100.0,-31.362,-18.952,-0.446,-0.176
100.0,-31.027,-18.778,-0.449,-0.185
100.0,-30.691,-18.612,-0.453,-0.195
100.0,-30.355,-18.453,-0.456,-0.204
100.0,-30.02,-18.301,-0.459,-0.214
100.0,-29.686,-18.157,-0.462,-0.223
100.0,-29.354,-18.019,-0.465,-0.233
100.0,-29.025,-17.888,-0.468,-0.242
100.0,-28.7,-17.763,-0.471,-0.25
100.0,-28.38,-17.645,-0.474,-0.259
100.0,-28.065,-17.533,-0.476,-0.267
100.0,-27.757,-17.427,-0.479,-0.275
100.0,-27.455,-17.327,-0.481,-0.283
100.0,-27.16,-17.233,-0.483,-0.29
100.0,-26.874,-17.144,-0.485,-0.297
100.0,-26.596,-17.062,-0.486,-0.303
100.0,-26.328,-16.986,-0.488,-0.309
100.0,-26.068,-16.915,-0.489,-0.315
100.0,-25.819,-16.851,-0.49,-0.321
100.0,-25.58,-16.792,-0.491,-0.326
100.0,-25.351,-16.739,-0.492,-0.33
100.0,-25.133,-16.692,-0.492,-0.335
100.0,-24.926,-16.651,-0.492,-0.339
100.0,-24.729,-16.615,-0.493,-0.342
100.0,-24.543,-16.585,-0.493,-0.346
100.0,-24.368,-16.561,-0.493,-0.349
100.0,-24.203,-16.542,-0.492,-0.352
100.0,-24.049,-16.529,-0.492,-0.355
100.0,-23.905,-16.521,-0.492,-0.357
100.0,-23.771,-16.519,-0.491,-0.359
100.0,-23.647,-16.521,-0.49,-0.361
100.0,-23.532,-16.529,-0.49,-0.363
100.0,-23.427,-16.541,-0.489,-0.365
100.0,-23.329,-16.558,-0.488,-0.367
100.0,-23.241,-16.579,-0.487,-0.368
100.0,-23.16,-16.604,-0.486,-0.37
100.0,-23.086,-16.633,-0.485,-0.371
100.0,-23.02,-16.666,-0.484,-0.372
100.0,-22.96,-16.702,-0.483,-0.374
100.0,-22.907,-16.742,-0.482,-0.375
100.0,-22.859,-16.785,-0.48,-0.376
100.0,-22.816,-16.831,-0.479,-0.377
100.0,-22.779,-16.879,-0.478,-0.378
100.0,-22.745,-16.93,-0.477,-0.379
100.0,-22.716,-16.983,-0.475,-0.38
100.0,-22.69,-17.038,-0.474,-0.381
100.0,-22.667,-17.096,-0.473,-0.382
100.0,-22.647,-17.154,-0.471,-0.382
100.0,-22.63,-17.215,-0.47,-0.383
100.0,-22.614,-17.277,-0.469,-0.384
100.0,-22.6,-17.34,-0.467,-0.385
100.0,-22.587,-17.404,-0.466,-0.386
100.0,-22.575,-17.47,-0.465,-0.386
100.0,-22.563,-17.536,-0.463,-0.387
100.0,-22.551,-17.603,-0.462,-0.388
100.0,-22.54,-17.67,-0.46,-0.389
100.0,-22.528,-17.739,-0.459,-0.389
