,eta_x,eta_y,eta_psi,nu_u,nu_v,nu_r,on_land,d_obs,psi_tilde_obs
0,-0.6625401345065876,-0.9742275180622675,-0.00013269635249091305,0.00015061531786786375,-0.00010616550633202326,3.016543722478282e-06,0.0,0.11207673346928082,0.0067423757607394386
1,-0.6642651705533181,-0.9749847085108224,-0.00013764173090713427,0.00013425613583084584,-9.190883350251866e-05,6.462368176696209e-06,0.0,0.11140499439316254,0.006676935909828652
2,-0.6659360145894332,-0.9757663968817857,-0.0001452284789493774,0.0001212461452704261,-7.825739229760931e-05,9.327792784397104e-06,0.0,0.11088965271874196,0.0066195025122604
3,-0.6675598578700892,-0.9765613228454977,-0.00015434830325589122,0.00011187451991467867,-6.52247508382553e-05,1.2111066066466947e-05,0.0,0.11052757681494874,0.00657062654036733
4,-0.6691303143389784,-0.9773544952095643,-0.00016455861222264279,0.00010553653319067546,-5.3583919007227365e-05,1.4421394484598338e-05,0.0,0.11031427237657299,0.006523364650697694
5,-0.6706547518707338,-0.9781388331284954,-0.0001749164058028052,0.00010176663211136638,-4.338194656594574e-05,1.6175366852944073e-05,0.0,0.11024051718329064,0.0064812615011811125
6,-0.672131003675316,-0.9789050676508014,-0.00018471125655694642,9.964923535732417e-05,-3.4378312172789194e-05,1.7725076935870554e-05,0.0,0.11029811753020768,0.006443683650184884
7,-0.6735572213073894,-0.9796427320318528,-0.0001941998625709651,9.874345872229462e-05,-2.6657084899017747e-05,1.8623465974365594e-05,0.0,0.1104768826667174,0.006407488326300559
8,-0.6749418234135247,-0.9803515646911511,-0.00020229813834937715,9.871337867484176e-05,-1.9566634641199343e-05,1.9546731552799734e-05,0.0,0.11076624768303311,0.0063720941924363395
9,-0.6762745579778668,-0.9810223828230991,-0.00020999316662839718,9.910151909586773e-05,-1.329919915560307e-05,2.026878137106891e-05,0.0,0.11115402440886768,0.006339982133930722
10,-0.662715048025119,-0.9626491358465903,4.882782776660655e-06,4.237299752374302e-05,1.1931543353327356e-06,1.889300171464825e-05,0.0,0.08782695111509475,0.0029900158437645707
11,-0.6642739210236348,-0.9636050039650887,-1.0515810400679726e-05,4.5279137109277556e-05,7.443069757639975e-06,1.8446136539673752e-05,0.0,0.0876325825405847,0.002965172505589475
12,-0.6658172543573471,-0.9645341618867258,-2.5909040280769347e-05,4.8131773194515226e-05,1.3333357494649256e-05,1.7990794666133958e-05,0.0,0.08748631529800077,0.0029395268911449612
13,-0.6673392014037224,-0.9654270847168267,-4.0258777125767864e-05,5.0633953982970326e-05,1.870769777667647e-05,1.746360843468686e-05,0.0,0.08737491601065095,0.002915662467795732
14,-0.6688472076091202,-0.9662913333225025,-5.438897830711831e-05,5.258156583576312e-05,2.3757446040995056e-05,1.6861226184605727e-05,0.0,0.0872928276617505,0.0028936357324207407
15,-0.6703241458626137,-0.967109304503974,-6.746824642578364e-05,5.396728089557268e-05,2.833574541938333e-05,1.6295539381538937e-05,0.0,0.08721950870968065,0.002873823599952363
16,-0.6717889537745219,-0.9678946999667302,-7.975397044435173e-05,5.43517117365111e-05,3.2341067324304085e-05,1.555698325605981e-05,0.0,0.08714691843798783,0.0028559691852301228
17,-0.6732258888054804,-0.9686308163049683,-9.073220669764126e-05,5.418556757808002e-05,3.6093906666367914e-05,1.500219300287764e-05,0.0,0.08705975984672798,0.002840756125510824
18,-0.6746466114112236,-0.9693289007373019,-0.00010097729630986763,5.292101936305027e-05,3.900112064103567e-05,1.4387163739248976e-05,0.0,0.0869478149778069,0.002827691203417748
19,-0.6760457191614785,-0.9699768843820465,-0.0001098688032987738,5.094071286848578e-05,4.174701312853468e-05,1.3809261409036822e-05,0.0,0.08679131611136548,0.0028176605822980427
20,-0.6774216991724215,-0.9705757271535943,-0.00011756879869884163,4.805590841350238e-05,4.389858899722654e-05,1.3057543947092576e-05,0.0,0.0865779230720286,0.002809963962988604
21,-0.678773832766758,-0.97112064130318,-0.0001240607024620699,4.4360031679624434e-05,4.5610723581002155e-05,1.228588032942124e-05,0.0,0.0862934215094685,0.002805025872122613
22,-0.680105466521994,-0.9716127720490416,-0.00012921087924455676,3.9996566653432986e-05,4.701864352063545e-05,1.1618264840751458e-05,0.0,0.08592940936670967,0.002802845090233319
23,-0.6814099685853703,-0.9720443688270746,-0.00013281607133042161,3.517980812806076e-05,4.8310323075950734e-05,1.0927230178814362e-05,0.0,0.08547090663324619,0.0028035411514926167
24,-0.6826962958295292,-0.9724177042159247,-0.00013494910776490343,2.9955069404064005e-05,4.938744086646629e-05,1.0405159979409717e-05,0.0,0.08490997496465447,0.0028067409396315135
25,-0.6839522568475523,-0.9727282430033365,-0.00013584686789891443,2.4170175345394895e-05,5.034624832189749e-05,9.841692666490154e-06,0.0,0.08424386837597864,0.002812449238084991
26,-0.6851862430473078,-0.9729740874923781,-0.0001361060577933504,1.828393603042766e-05,5.140824271676614e-05,9.282915874875286e-06,0.0,0.08345784341425633,0.002823048170410125
27,-0.6863915760876765,-0.973151526375824,-0.00013434604944062567,1.2006916731532868e-05,5.259405243462911e-05,8.71122830969906e-06,0.0,0.08255565684170207,0.002833783302469861
28,-0.6875738237259492,-0.9732580371856615,-0.0001313658166715026,5.582114909197244e-06,5.389205010208897e-05,8.391982469158066e-06,0.0,0.08152939721909969,0.002849546994523333
29,-0.6887222931285838,-0.9732900706613571,-0.00012844061993921851,-1.2817718838542547e-06,5.532464158375383e-05,7.922156179729356e-06,0.0,0.08039052613609643,0.0028653080934724073
30,-0.6898382155974688,-0.9732434533401041,-0.0001246847544021934,-8.528933002960315e-06,5.6917852620075315e-05,7.551321459686733e-06,0.0,0.079128947355802,0.002886254547986855
31,-0.6909172920282168,-0.9731111057989122,-0.0001190012629371795,-1.6067443737277642e-05,5.8837587863402874e-05,7.462625801091249e-06,0.0,0.07775786358456527,0.002909861133145508
32,-0.6919524672481505,-0.972890036760534,-0.00011396957884057812,-2.4232345653407705e-05,6.085468387584392e-05,7.123465191494205e-06,0.0,0.07628531657444348,0.002935947156353036
33,-0.6929416892122603,-0.972572044400224,-0.00010839713486199276,-3.278202830725441e-05,6.307553855267045e-05,7.085681891672024e-06,0.0,0.07471159476744971,0.002964611126954342
34,-0.6938760302544578,-0.9721509620323812,-0.0001026201816914929,-4.198292232815426e-05,6.532657903135508e-05,6.949533963185317e-06,0.0,0.07305095412342433,0.0029950177426041336
35,-0.6947525941203607,-0.9716264119185141,-9.670901518754604e-05,-5.159647975916393e-05,6.74883719875563e-05,6.802722036791664e-06,0.0,0.07131321159331605,0.0030266727790371206
36,-0.6955637612448563,-0.9709962275831693,-9.16023064552185e-05,-6.124586904165952e-05,6.986494695437884e-05,6.798830997967187e-06,0.0,0.06951786121393466,0.0030588629181560467
37,-0.6963095151447306,-0.9702538373343991,-8.554840203711667e-05,-7.108741912786876e-05,7.209327224377837e-05,6.734314939027541e-06,0.0,0.06766229871200169,0.0030933166376767574
38,-0.6969887087905589,-0.9694006921447531,-8.06258061318843e-05,-8.078859631166502e-05,7.414604557975935e-05,6.669291870098348e-06,0.0,0.06575741210217412,0.0031267806262507136
39,-0.6975988702531578,-0.9684453027533279,-7.577248350398857e-05,-8.994635559422814e-05,7.603197407290985e-05,6.5903034327519094e-06,0.0,0.06383497678976258,0.003154902888219624
40,-0.6981437923828638,-0.9673896503050672,-6.997083070281462e-05,-9.83118883268741e-05,7.778750073583751e-05,6.552693119665776e-06,0.0,0.06189051402354795,0.003182832901195365
41,-0.698629541115579,-0.9662465154296755,-6.628681487408361e-05,-0.00010569895171852473,7.941811414613476e-05,6.495719543808676e-06,0.0,0.059947965015710314,0.0032065384606259073
42,-0.699057332077575,-0.9650257422979874,-6.169972224945308e-05,-0.00011200966318536398,8.076716104499226e-05,6.38571345357164e-06,0.0,0.05801736267186397,0.0032256162122759058
43,-0.6994380485591946,-0.9637406709528921,-5.70715611835082e-05,-0.00011691271633251787,8.208558931888099e-05,6.2836196277338274e-06,0.0,0.05611307448868952,0.003241901647369261
