eta_x,eta_y,eta_psi,nu_u,nu_v,nu_r,x_tilde,y_tilde,on_land,u,v,r,d_obs,psi_tilde_obs,psi_tilde
312.461,876.144,-0.384,0.291842,-0.005719,0.000892,586.28,-149.599,0.0,0.292,-0.006,0.001,42.8,2.464,-0.268
312.73,876.029,-0.383,0.28441,-0.011311,0.001747,585.855,-150.116,0.0,0.284,-0.011,0.002,42.833,2.463,-0.267
312.989,875.912,-0.381,0.277936,-0.016682,0.002554,585.307,-151.127,0.0,0.278,-0.017,0.003,42.887,2.461,-0.265
313.241,875.793,-0.379,0.272575,-0.021719,0.003298,584.641,-152.604,0.0,0.273,-0.022,0.003,42.962,2.459,-0.262
313.486,875.672,-0.376,0.268307,-0.026331,0.003965,583.862,-154.509,0.0,0.268,-0.026,0.004,43.054,2.455,-0.259
313.726,875.549,-0.372,0.264932,-0.030496,0.004549,582.977,-156.795,0.0,0.265,-0.03,0.005,43.162,2.451,-0.255
313.962,875.425,-0.367,0.262201,-0.034271,0.005053,581.993,-159.413,0.0,0.262,-0.034,0.005,43.283,2.447,-0.251
314.194,875.299,-0.362,0.259914,-0.037746,0.005488,580.918,-162.316,0.0,0.26,-0.038,0.005,43.414,2.442,-0.246
314.424,875.171,-0.356,0.257932,-0.041019,0.005863,579.759,-165.463,0.0,0.258,-0.041,0.006,43.553,2.436,-0.24
314.651,875.043,-0.351,0.256159,-0.044171,0.006189,578.521,-168.817,0.0,0.256,-0.044,0.006,43.699,2.43,-0.234
314.877,874.913,-0.344,0.254528,-0.047268,0.006472,577.209,-172.348,0.0,0.255,-0.047,0.006,33.152,1.047,-0.228
315.1,874.783,-0.338,0.256081,-0.049969,0.006564,575.828,-176.031,0.0,0.256,-0.05,0.007,33.142,1.043,-0.222
315.325,874.651,-0.331,0.258086,-0.052746,0.006644,574.404,-179.756,0.0,0.258,-0.053,0.007,33.132,1.038,-0.215
315.552,874.517,-0.325,0.260541,-0.055607,0.006713,572.939,-183.514,0.0,0.261,-0.056,0.007,33.121,1.033,-0.208
315.782,874.381,-0.318,0.263444,-0.058559,0.006772,571.434,-187.298,0.0,0.263,-0.059,0.007,33.111,1.028,-0.202
316.013,874.243,-0.311,0.266787,-0.061601,0.006822,569.89,-191.104,0.0,0.267,-0.062,0.007,33.1,1.023,-0.195
316.249,874.103,-0.304,0.270557,-0.064731,0.006862,568.306,-194.923,0.0,0.271,-0.065,0.007,33.089,1.018,-0.188
316.487,873.96,-0.298,0.274736,-0.067943,0.006892,566.685,-198.752,0.0,0.275,-0.068,0.007,33.078,1.013,-0.181
316.73,873.815,-0.291,0.279302,-0.071231,0.006913,565.028,-202.583,0.0,0.279,-0.071,0.007,33.068,1.008,-0.174
316.977,873.666,-0.284,0.284226,-0.074583,0.006922,563.335,-206.411,0.0,0.284,-0.075,0.007,33.058,1.003,-0.167
317.229,873.515,-0.277,0.289474,-0.07799,0.006921,561.609,-210.229,0.0,0.289,-0.078,0.007,33.048,0.998,-0.16
317.486,873.361,-0.27,0.295007,-0.081441,0.006909,559.851,-214.031,0.0,0.295,-0.081,0.007,33.038,0.993,-0.154
317.749,873.204,-0.263,0.300782,-0.084924,0.006885,558.065,-217.811,0.0,0.301,-0.085,0.007,33.029,0.988,-0.147
318.017,873.044,-0.256,0.306753,-0.08843,0.006849,556.252,-221.56,0.0,0.307,-0.088,0.007,33.02,0.983,-0.14
318.292,872.88,-0.249,0.312873,-0.091951,0.006801,554.416,-225.274,0.0,0.313,-0.092,0.007,33.012,0.978,-0.133
318.572,872.714,-0.242,0.319095,-0.095481,0.006742,552.558,-228.945,0.0,0.319,-0.095,0.007,33.005,0.973,-0.126
318.859,872.545,-0.236,0.325372,-0.099017,0.006672,550.684,-232.568,0.0,0.325,-0.099,0.007,32.998,0.969,-0.119
319.152,872.373,-0.229,0.331662,-0.102555,0.006591,548.795,-236.136,0.0,0.332,-0.103,0.007,32.992,0.964,-0.113
319.452,872.197,-0.222,0.337923,-0.106096,0.006501,546.896,-239.643,0.0,0.338,-0.106,0.007,32.987,0.96,-0.106
319.758,872.019,-0.216,0.344121,-0.10964,0.006402,544.989,-243.085,0.0,0.344,-0.11,0.006,32.983,0.955,-0.1
320.071,871.839,-0.21,0.350224,-0.113189,0.006294,543.078,-246.457,0.0,0.35,-0.113,0.006,32.979,0.951,-0.093
320.39,871.655,-0.203,0.356207,-0.116744,0.006179,541.167,-249.755,0.0,0.356,-0.117,0.006,32.977,0.947,-0.087
320.715,871.469,-0.197,0.362048,-0.120306,0.006056,539.258,-252.975,0.0,0.362,-0.12,0.006,32.976,0.943,-0.081
321.047,871.28,-0.191,0.367732,-0.123877,0.005928,537.355,-256.114,0.0,0.368,-0.124,0.006,32.976,0.939,-0.075
321.384,871.088,-0.185,0.373248,-0.127457,0.005795,535.46,-259.169,0.0,0.373,-0.127,0.006,32.977,0.935,-0.069
321.728,870.894,-0.179,0.378591,-0.131044,0.005656,533.577,-262.138,0.0,0.379,-0.131,0.006,32.98,0.931,-0.063
322.077,870.698,-0.174,0.383758,-0.134636,0.005514,531.708,-265.018,0.0,0.384,-0.135,0.006,32.985,0.927,-0.057
322.431,870.499,-0.168,0.388751,-0.138232,0.005368,529.855,-267.809,0.0,0.389,-0.138,0.005,32.991,0.924,-0.052
322.792,870.298,-0.163,0.393575,-0.141826,0.005219,528.022,-270.509,0.0,0.394,-0.142,0.005,32.998,0.921,-0.046
323.157,870.094,-0.158,0.398237,-0.145416,0.005067,526.21,-273.117,0.0,0.398,-0.145,0.005,33.008,0.917,-0.041
323.527,869.888,-0.152,0.402745,-0.148997,0.004913,524.422,-275.633,0.0,0.403,-0.149,0.005,33.019,0.914,-0.036
323.903,869.679,-0.148,0.407109,-0.152563,0.004756,522.66,-278.055,0.0,0.407,-0.153,0.005,33.033,0.911,-0.031
324.283,869.469,-0.143,0.411337,-0.15611,0.004598,520.925,-280.383,0.0,0.411,-0.156,0.005,33.048,0.908,-0.026
324.668,869.256,-0.138,0.415439,-0.159631,0.004439,519.22,-282.617,0.0,0.415,-0.16,0.004,33.066,0.906,-0.022
325.058,869.04,-0.134,0.419422,-0.163122,0.004278,517.545,-284.757,0.0,0.419,-0.163,0.004,33.085,0.903,-0.017
325.451,868.823,-0.129,0.423293,-0.166576,0.004116,515.904,-286.804,0.0,0.423,-0.167,0.004,33.107,0.901,-0.013
325.85,868.603,-0.125,0.427058,-0.169988,0.003954,514.296,-288.756,0.0,0.427,-0.17,0.004,33.132,0.898,-0.009
326.252,868.381,-0.121,0.430719,-0.173352,0.003791,512.724,-290.616,0.0,0.431,-0.173,0.004,33.158,0.896,-0.005
326.659,868.157,-0.118,0.434279,-0.176664,0.003628,511.189,-292.382,0.0,0.434,-0.177,0.004,33.187,0.894,-0.001
327.069,867.93,-0.114,0.437739,-0.179921,0.003466,509.691,-294.057,0.0,0.438,-0.18,0.003,33.219,0.892,0.002
327.484,867.702,-0.111,0.441099,-0.183119,0.003305,508.232,-295.64,0.0,0.441,-0.183,0.003,33.253,0.89,0.006
327.902,867.471,-0.107,0.444359,-0.186259,0.003145,506.812,-297.133,0.0,0.444,-0.186,0.003,33.289,0.888,0.009
328.324,867.238,-0.104,0.447522,-0.189343,0.002989,505.431,-298.538,0.0,0.448,-0.189,0.003,33.328,0.887,0.012
328.749,867.003,-0.101,0.45059,-0.192374,0.002835,504.089,-299.857,0.0,0.451,-0.192,0.003,33.37,0.885,0.015
329.178,866.766,-0.098,0.453567,-0.195356,0.002686,502.787,-301.091,0.0,0.454,-0.195,0.003,33.413,0.884,0.018
329.61,866.528,-0.096,0.45646,-0.198294,0.002541,501.524,-302.244,0.0,0.456,-0.198,0.003,33.46,0.883,0.021
330.046,866.287,-0.093,0.459274,-0.201192,0.0024,500.298,-303.318,0.0,0.459,-0.201,0.002,33.509,0.882,0.023
330.484,866.044,-0.091,0.462016,-0.204054,0.002264,499.11,-304.315,0.0,0.462,-0.204,0.002,33.56,0.881,0.026
330.926,865.799,-0.088,0.464692,-0.206883,0.002133,497.958,-305.24,0.0,0.465,-0.207,0.002,33.613,0.88,0.028
331.371,865.551,-0.086,0.467306,-0.209681,0.002006,496.842,-306.093,0.0,0.467,-0.21,0.002,33.669,0.879,0.03
331.818,865.302,-0.084,0.469863,-0.212447,0.001883,495.76,-306.879,0.0,0.47,-0.212,0.002,33.728,0.878,0.032
332.268,865.051,-0.082,0.472366,-0.215183,0.001764,494.712,-307.598,0.0,0.472,-0.215,0.002,33.789,0.878,0.034
332.721,864.798,-0.081,0.474817,-0.217888,0.001647,493.696,-308.254,0.0,0.475,-0.218,0.002,33.852,0.877,0.036
333.177,864.542,-0.079,0.477217,-0.220563,0.001534,492.713,-308.848,0.0,0.477,-0.221,0.002,33.918,0.877,0.037
333.636,864.285,-0.077,0.479567,-0.223205,0.001422,491.762,-309.382,0.0,0.48,-0.223,0.001,33.986,0.877,0.039
334.096,864.025,-0.076,0.481869,-0.225816,0.001313,490.843,-309.858,0.0,0.482,-0.226,0.001,34.056,0.876,0.04
334.56,863.764,-0.075,0.484121,-0.228393,0.001206,489.954,-310.275,0.0,0.484,-0.228,0.001,34.129,0.876,0.042
335.026,863.5,-0.073,0.486326,-0.230937,0.0011,489.095,-310.637,0.0,0.486,-0.231,0.001,34.205,0.876,0.043
335.494,863.234,-0.072,0.488481,-0.233447,0.000996,488.267,-310.944,0.0,0.488,-0.233,0.001,34.283,0.876,0.044
335.964,862.965,-0.071,0.490589,-0.235922,0.000893,487.469,-311.196,0.0,0.491,-0.236,0.001,34.363,0.876,0.045
336.436,862.695,-0.07,0.492649,-0.238362,0.000792,486.7,-311.395,0.0,0.493,-0.238,0.001,34.446,0.877,0.046
336.911,862.423,-0.07,0.494661,-0.240766,0.000691,485.961,-311.541,0.0,0.495,-0.241,0.001,34.531,0.877,0.047
337.388,862.148,-0.069,0.496627,-0.243133,0.000592,485.251,-311.636,0.0,0.497,-0.243,0.001,34.618,0.877,0.047
337.866,861.871,-0.068,0.498547,-0.245463,0.000494,484.57,-311.679,0.0,0.499,-0.245,0.0,34.708,0.878,0.048
338.347,861.592,-0.068,0.500421,-0.247755,0.000397,483.918,-311.673,0.0,0.5,-0.248,0.0,34.801,0.878,0.048
338.829,861.311,-0.068,0.502252,-0.250008,0.000301,483.294,-311.617,0.0,0.502,-0.25,0.0,34.896,0.879,0.049
339.314,861.028,-0.067,0.504039,-0.252222,0.000206,482.698,-311.512,0.0,0.504,-0.252,0.0,34.994,0.879,0.049
339.8,860.742,-0.067,0.505785,-0.254396,0.000113,482.13,-311.359,0.0,0.506,-0.254,0.0,35.094,0.88,0.049
340.287,860.455,-0.067,0.50749,-0.256529,2.1e-05,481.589,-311.159,0.0,0.507,-0.257,0.0,35.197,0.881,0.049
340.777,860.165,-0.067,0.509157,-0.258621,-7e-05,481.075,-310.913,0.0,0.509,-0.259,-0.0,35.302,0.882,0.049
341.267,859.873,-0.067,0.510787,-0.260669,-0.00016,480.588,-310.62,0.0,0.511,-0.261,-0.0,35.41,0.883,0.049
341.759,859.578,-0.067,0.512382,-0.262675,-0.000248,480.126,-310.283,0.0,0.512,-0.263,-0.0,35.52,0.884,0.049
342.253,859.282,-0.067,0.513944,-0.264635,-0.000334,479.691,-309.902,0.0,0.514,-0.265,-0.0,35.633,0.885,0.049
342.748,858.983,-0.068,0.515474,-0.266551,-0.000419,479.28,-309.477,0.0,0.515,-0.267,-0.0,35.748,0.886,0.049
343.244,858.683,-0.068,0.516976,-0.26842,-0.000502,478.894,-309.01,0.0,0.517,-0.268,-0.001,35.866,0.888,0.048
343.742,858.38,-0.069,0.51845,-0.270241,-0.000583,478.532,-308.502,0.0,0.518,-0.27,-0.001,35.987,0.889,0.048
344.241,858.074,-0.069,0.519899,-0.272014,-0.000663,478.193,-307.953,0.0,0.52,-0.272,-0.001,36.109,0.891,0.047
344.74,857.767,-0.07,0.521324,-0.273738,-0.00074,477.877,-307.364,0.0,0.521,-0.274,-0.001,36.235,0.892,0.047
