Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	N episodes
0	-360.7283	295.19513	70.80487	-610.5492	703.5	0.047765076	0.20042767	1.2261974	-1.986509	20000	2.4414062e-08	15178.197	0.010036939	-3827.0967	4.58059	0.041871265	0.38255	1.0	45.08448028564453	29
1	-356.4956	320.1117	302.85367	-668.61664	909.9524	-20.670155	26.32868	41.496517	-55.540302	40000	-9.155274e-09	9294.013	0.012327408	-1674.7925	4.5677943	0.048358064	0.40565	1.0	89.55733680725098	51
2	-411.72266	287.86005	68.39341	-625.60815	711.7407	-20.01881	31.966349	77.16324	-82.05919	60000	-7.629395e-09	11664.336	-0.008118369	-2531.4805	4.6138096	0.006568322	0.0627	79.0	149.9805188179016	79
3	-370.8182	301.75244	151.47998	-606.6849	822.7083	-33.677994	46.69108	71.81527	-114.20611	80000	9.918213e-09	8119.989	-0.0077596703	-1480.6758	4.622216	0.0070909476	0.0801	79.0	210.4510681629181	104
4	-204.18684	307.1997	108.40568	-606.5142	924.0476	-10.036863	28.701082	52.196865	-138.4327	100000	3.0517577e-09	3989.3464	-0.0029932968	-921.5752	4.5875006	0.015649438	0.2281	3.0	253.65611791610718	126
5	-250.06914	321.99603	83.79111	-635.62964	987.15	-27.074068	50.350407	81.042564	-149.6494	120000	3.0517577e-09	5552.156	-0.0032176117	-1802.0493	4.6182437	0.015621329	0.18905	4.0	297.81729340553284	147
6	-46.24939	205.29015	119.099495	-607.42267	1169.1177	-6.801465	24.431852	149.69597	-157.02376	140000	-2.7656555e-09	870.1642	-0.0016453277	-218.82288	4.6141143	0.014776325	0.1905	7.0	342.4595241546631	165
7	-53.135822	263.69974	336.11194	-612.6297	1124.1177	-5.7453218	23.924261	77.07106	-162.58339	160000	1.6784668e-08	1804.8016	-0.0028303328	-424.63794	4.5961595	0.014833771	0.2034	3.0	385.634379863739	183
8	-58.434204	237.14558	154.43582	-609.5106	1061.0555	1.4081905	10.465408	29.74633	-157.72488	180000	0.0	2014.2368	-0.0045338594	-946.8849	4.60655	0.0072421767	0.09225	79.0	443.49036931991577	202
9	43.453735	24.842167	82.47361	2.8673303	1200.0	-3.2132432	30.14308	88.16473	-169.96567	200000	-1.0681152e-08	915.4547	-0.006649974	-898.21765	4.5799937	0.0060055945	0.0704	79.0	502.19920921325684	219
10	-1.2194227	185.83273	122.693115	-557.87744	1097.0555	4.1900735	6.435773	70.180916	-98.40163	220000	1.2207031e-08	1821.2142	-0.00516344	-968.87524	4.531092	0.0058558746	0.10435	79.0	560.4260716438293	238
11	-3.1716135	227.06659	270.9451	-607.5385	1129.1177	-10.641881	43.330753	124.053345	-150.8722	240000	9.155274e-09	2285.382	0.00063196715	-1561.4631	4.546454	0.00817091	0.095	5.0	604.5595664978027	256
12	45.19789	106.12941	117.693474	-369.6081	1144.1177	2.8912418	17.752022	89.99422	-168.31592	260000	-9.155274e-09	809.289	0.001238971	-452.65674	4.541663	0.024315597	0.26945	2.0	648.7915375232697	274
13	24.522802	159.29477	103.58404	-605.1377	1163.1177	5.381318	5.9879565	104.91857	-46.910976	280000	1.525879e-08	914.347	-0.00056985475	-601.60596	4.5507197	0.015899401	0.1987	3.0	691.9107162952423	292
14	39.53267	147.62106	130.65546	-539.704	1141.4706	0.6236751	21.192778	86.90085	-171.63394	300000	-4.577637e-09	1224.3733	-0.002330069	-929.37915	4.561101	0.018297972	0.2456	6.0	737.5412089824677	310
15	-7.3450103	199.79149	130.55516	-602.4846	1143.7646	0.11927402	24.440506	81.07269	-176.3539	320000	1.5258789e-09	1519.7382	-0.0021637436	-941.80273	4.558616	0.018473566	0.24075	3.0	780.9896056652069	328
16	12.587501	214.59335	137.99687	-602.4022	1082.6666	3.6123433	11.866535	83.46743	-173.56142	340000	6.1035155e-09	1403.0656	-0.0006631073	-800.6388	4.543589	0.026982578	0.2896	2.0	823.9468641281128	347
17	-16.302988	254.68076	153.0999	-605.36523	1045.5264	-0.30861354	22.388992	78.98653	-186.9183	360000	7.629395e-09	1279.9749	-0.0062478073	-401.60913	4.5413074	0.010716182	0.11885	79.0	882.1043820381165	367
18	-4.0011997	215.67241	146.31735	-608.2968	1071.3334	5.368153	8.297454	60.87258	-114.49077	380000	3.8146974e-09	1092.8302	-0.000608545	-221.02917	4.5436397	0.020171465	0.2545	3.0	925.7717504501343	386
19	37.79568	148.42339	137.45854	-538.2338	1134.4706	4.5221534	6.5277553	57.694286	-88.73053	400000	1.0681152e-08	696.7692	-0.0061006392	-476.2091	4.55262	0.0068050646	0.08275	79.0	983.9095084667206	404
20	106.2971	41.162674	189.26648	36.436718	1200.0	7.1961985	8.350952	55.47714	-27.699995	420000	-9.155274e-09	26.790682	-0.010589273	-17.978052	4.5230355	0.010270688	0.0998	79.0	1042.8999888896942	421
21	46.52726	167.59279	168.27455	-606.8425	1167.4706	6.3315797	7.590617	41.86741	-56.26531	440000	-6.1035155e-09	946.8884	-0.0057722228	-709.9139	4.475723	0.010649927	0.137	79.0	1100.652382850647	439
22	86.85927	28.276735	135.00021	19.934381	1200.0	6.6906047	8.07095	47.00546	-116.92701	460000	7.629395e-09	19.126678	-0.011471675	-13.444466	4.4626	0.008087851	0.07075	79.0	1158.766999721527	456
23	19.94259	198.28044	150.76372	-601.83514	1074.5555	6.572654	8.5766	65.908226	-123.65402	480000	-9.155274e-09	1224.7605	-0.0058422303	-823.08417	4.3942556	0.0074658548	0.1034	79.0	1216.8664360046387	475
24	65.17712	169.8893	154.63138	-604.74384	1133.0588	4.211432	19.438356	49.447628	-200.70079	500000	9.155274e-09	677.2525	-0.0070392154	-455.49713	4.4537873	0.007970323	0.08535	79.0	1275.0290291309357	493
25	122.03235	30.564499	172.10446	62.6302	1200.0	8.896384	8.5992365	60.70426	-131.31686	520000	3.0517577e-09	22.366854	-0.011171122	-15.274519	4.3390975	0.009313806	0.096	79.0	1333.3674051761627	510
26	-9.520249	252.57607	165.10999	-550.6734	1094.2222	9.88255	7.521483	59.919727	-58.094242	540000	-1.525879e-08	3210.349	-0.0018766907	-577.7971	4.296204	0.022990182	0.27435	2.0	1376.5546336174011	529
27	83.76813	147.48056	173.7	-475.04556	1194.625	3.1719177	12.318176	36.863598	-129.23232	560000	3.0517577e-09	813.9638	-0.005914093	-103.5423	4.3024197	0.006738826	0.09955	79.0	1436.2084875106812	546
28	78.06443	164.8466	177.14484	-568.4428	1133.8823	8.9399185	7.316357	42.474213	-31.95475	580000	1.5258789e-09	741.7789	-0.00431138	-406.55676	4.297669	0.008415669	0.10555	79.0	1494.9399094581604	564
29	30.413103	227.0329	170.56317	-606.4012	1067.8334	6.9658732	16.95667	50.025475	-193.85551	600000	1.5258789e-09	472.718	-0.008978779	-246.6081	4.321683	0.010564224	0.1276	79.0	1552.9254968166351	583
30	129.79501	30.756325	190.74524	90.56011	1200.0	8.483524	8.834136	57.875214	-103.761	620000	1.2207031e-08	48.457703	-0.008649719	-37.709152	4.2929974	0.00886427	0.1031	79.0	1610.7321844100952	600
31	38.20782	317.1723	257.08347	-636.27386	1002.7368	14.42653	10.380653	50.890987	-113.199524	640000	0.0	2776.1753	-0.0017197082	-1413.1763	4.2569337	0.012543039	0.17385	3.0	1654.2569932937622	620
32	123.93464	244.07288	388.5535	-541.5494	1109.2941	-3.0947459	35.344273	36.61772	-225.21132	660000	3.0517577e-09	2592.8828	-0.009292103	-1887.5806	4.246242	0.008095352	0.0972	79.0	1712.5870537757874	638
33	216.08868	36.3249	272.72137	119.36419	1200.0	11.60151	28.210539	58.956783	-186.19748	680000	-6.1035155e-09	736.6284	0.0070429216	-707.153	4.2313576	0.010631937	0.1293	1.0	1755.308280467987	655
34	20.178797	369.18265	320.7212	-610.98285	1014.1053	17.15711	17.998093	46.52	-169.4604	700000	-1.5258789e-09	5510.9463	0.009086195	-2686.6663	4.2218814	0.07120418	0.44575	1.0	1798.3707761764526	675
35	-481.36884	148.33354	191.74779	-601.9365	405.0408	-12.545659	61.399483	45.276043	-227.11569	720000	-4.196167e-09	21367.81	0.020599842	-14115.1	4.219572	0.03191552	0.35165	4.0	1842.2092652320862	725
36	-320.67575	326.6865	397.6271	-604.4898	720.3333	-52.617725	77.34643	81.14766	-314.82776	740000	2.4414062e-08	8177.283	0.034421004	-3294.0767	4.231147	0.08897193	0.49705	1.0	1885.1888518333435	753
37	72.58437	160.8366	183.15326	-552.86615	1150.0588	8.407229	15.904542	110.01451	-276.15042	760000	1.2207031e-08	1110.6328	-0.0021630493	-430.34747	4.219156	0.017628934	0.2388	3.0	1929.2955310344696	771
38	78.87003	176.72562	233.62427	-607.29877	1130.3529	5.616574	9.004162	57.116768	-195.71852	780000	-1.9836426e-08	353.20462	-0.0063346312	-262.6013	4.229026	0.0075341337	0.0608	79.0	1988.4664855003357	789
39	148.97008	49.698364	229.77548	47.019047	1200.0	8.513136	24.683184	60.416706	-323.96973	800000	-6.1035155e-09	591.50446	-0.005601547	-567.7432	4.185822	0.0074028154	0.066	79.0	2046.8855373859406	806
40	107.95617	169.63148	222.69717	-540.10205	1157.6471	11.322779	9.384172	59.200806	-184.23148	820000	0.0	984.8337	-0.0062378477	-701.90845	4.132992	0.008680139	0.08265	79.0	2104.6063282489777	824
41	165.7555	50.692276	273.25665	69.90946	1200.0	13.430324	9.227943	57.506977	-161.13283	840000	1.525879e-08	53.424236	-0.009741745	-33.179558	4.1118236	0.0071496703	0.0711	79.0	2162.6077234745026	841
42	137.2153	195.07384	276.02304	-622.05	1131.0	14.656957	11.326676	62.605537	-183.169	860000	-1.373291e-08	440.6539	-0.004868084	-109.80344	4.0114107	0.015488993	0.18015	14.0	2208.8390753269196	859
43	131.83176	250.88837	486.5316	-602.1467	1109.5555	14.948825	11.546245	62.01537	-235.41492	880000	-7.6293943e-10	1206.2999	-0.0028674973	-335.29645	4.0068326	0.016631568	0.2229	5.0	2253.057102203369	878
44	220.74149	72.74207	389.94925	63.30239	1200.0	13.967911	13.806654	113.90078	-87.12236	900000	1.8310548e-08	191.28503	-0.007852573	-146.63437	4.013836	0.010034105	0.0995	79.0	2310.2234296798706	895
45	163.15907	277.13538	429.28555	-603.00146	1068.3334	19.521118	15.639781	49.28021	-277.39407	920000	-9.155274e-09	332.62646	-0.0027577423	-164.37236	3.9446292	0.014947429	0.20275	2.0	2353.6079313755035	914
46	182.66634	273.98987	448.48712	-589.10974	1082.5	18.70252	21.321228	60.104332	-307.034	940000	1.8310548e-08	1971.2115	-0.0051322966	-750.0349	3.919715	0.0075623	0.09105	79.0	2412.0132184028625	933
47	137.24773	250.9191	320.1389	-588.75726	1072.7778	17.788616	12.404992	51.471687	-40.710197	960000	-1.2207031e-08	935.7603	-0.0028604844	-213.74023	3.914834	0.020136584	0.2492	3.0	2455.6747856140137	952
48	253.46971	82.19972	448.5439	165.8285	1200.0	18.288103	12.620138	49.68339	-38.96146	980000	3.0517577e-09	178.35994	-0.0073219286	-69.158264	3.8997755	0.007816143	0.0944	79.0	2513.901108264923	969
49	155.1973	283.03592	404.84232	-600.8107	1074.2778	19.782063	16.12918	60.180363	-176.00304	1000000	1.2207031e-08	1197.2612	-0.0015630325	-441.93976	3.8128798	0.013647263	0.1859	4.0	2557.8936557769775	988
50	209.09073	92.28152	405.39444	70.694336	1200.0	17.420433	14.493741	58.883488	-202.39966	1020000	7.629395e-09	80.8758	0.0062322817	-41.92787	3.8263938	0.024868893	0.2367	2.0	2601.681342124939	1005
51	106.38034	321.43158	360.41925	-601.8235	1048.7222	18.591782	14.5463	59.81639	-65.85001	1040000	3.0517577e-09	1765.9812	0.001611087	-1415.3887	3.8317437	0.030698748	0.31205	2.0	2645.199153661728	1024
52	200.08734	271.6137	601.89667	-599.73676	1107.5	17.26389	31.212982	85.9749	-301.50507	1060000	-1.8310548e-08	1358.7336	-0.00035470887	-453.06873	3.7952313	0.014214922	0.16465	2.0	2689.003466129303	1043
53	81.46525	277.97986	408.6088	-601.7755	1155.8823	10.1643715	35.52335	109.25735	-341.03815	1080000	-1.2207031e-08	329.90576	-0.0006512268	-187.56416	3.8299868	0.009882965	0.13315	6.0	2733.7208473682404	1061
54	279.92798	177.24591	490.441	-215.34549	1180.375	26.4033	19.005888	75.20923	-177.51033	1100000	-7.629395e-09	910.5346	-0.0025898726	-132.10742	3.8347995	0.013246728	0.19375	5.0	2778.608172416687	1078
55	264.43488	314.0034	555.9874	-602.28687	1150.4706	18.462082	38.736645	74.309044	-362.25723	1120000	-6.1035155e-09	1661.2332	-0.0061315065	-410.2821	3.8269398	0.009044669	0.08645	79.0	2837.805741786957	1096
56	185.94229	344.49265	576.2237	-560.04285	1084.2778	24.797926	19.919754	77.180405	-260.9274	1140000	-1.373291e-08	3230.8535	-0.007045881	-1742.2769	3.8177805	0.007657965	0.0983	79.0	2896.9225919246674	1115
57	230.3431	384.90692	662.0634	-603.23206	1047.6111	22.710112	40.94143	89.7915	-324.66013	1160000	8.392334e-09	1676.086	-0.00852752	-1123.7593	3.824064	0.009523313	0.0928	79.0	2954.5196475982666	1134
58	335.04556	295.95245	623.11584	-600.3923	1164.1765	28.495106	36.892834	107.68785	-332.3952	1180000	-1.5258789e-09	1596.4106	-0.002780029	-1450.1042	3.7922266	0.016577624	0.19585	3.0	2998.1676619052887	1152
59	135.59099	404.95004	667.21893	-603.30225	1096.6111	11.854218	67.4976	107.821266	-401.44702	1200000	2.5939942e-08	3793.944	-0.0032287047	-1366.8696	3.7783418	0.012105423	0.1548	7.0	3042.7401034832	1171
60	226.92365	360.2635	615.139	-563.7509	1110.0555	23.391586	22.519247	80.82025	-12.832043	1220000	-1.5258789e-09	3170.047	-0.0034241225	-401.21753	3.782193	0.012560457	0.14295	5.0	3087.2769372463226	1190
61	256.65417	276.8557	672.32166	-561.6935	1135.2354	19.224247	23.286062	76.416405	-70.454025	1240000	-1.0681152e-08	862.8713	-0.006717724	-695.9994	3.7891386	0.007807353	0.09815	79.0	3144.9765813350677	1208
62	384.73102	276.41525	682.7109	-525.5943	1150.4117	33.34824	27.04857	92.47023	-62.827087	1260000	3.0517577e-09	1519.2476	-0.007458997	-181.953	3.7468696	0.007615291	0.1043	79.0	3204.6627082824707	1226
63	301.56943	328.28558	646.4171	-482.99908	1115.1177	31.88832	29.236847	97.49055	-359.6355	1280000	3.8146974e-09	2682.5098	-0.0053183767	-429.65967	3.6895375	0.008265713	0.08445	79.0	3263.393769264221	1244
64	208.34862	381.13422	683.74945	-519.127	1094.7778	24.642683	22.09497	88.51616	-39.68737	1300000	6.1035155e-09	4419.0146	-0.007842052	-1134.7664	3.6971219	0.0077558486	0.0866	79.0	3322.169334411621	1263
65	297.0889	327.33853	680.8566	-374.9552	1164.8823	20.582996	27.589605	83.9838	-356.4289	1320000	-1.5258789e-09	2426.6768	-0.007827611	-479.32556	3.7236261	0.008938235	0.09185	79.0	3381.155220746994	1281
66	344.29672	315.13898	714.31836	-602.90643	1130.0	29.66953	26.562939	90.05595	-59.94337	1340000	3.0517577e-09	434.1107	-0.0051978785	-192.03539	3.6702063	0.013710577	0.11885	12.0	3427.052656650543	1299
67	426.90195	302.53085	757.63477	-561.92426	1135.0	36.726982	30.483707	111.713715	-167.51035	1360000	-9.536743e-11	985.6747	-0.0058132163	-779.1645	3.6677663	0.011481799	0.1172	79.0	3486.5345962047577	1317
68	196.664	501.18143	684.0562	-603.59735	974.05	43.632294	34.27107	116.72638	-152.06221	1380000	7.629395e-09	7720.8906	-0.007770429	-4811.065	3.669411	0.006668913	0.08965	79.0	3545.31564950943	1338
69	51.93972	443.42392	701.9672	-505.9691	972.65	12.589046	61.329746	129.79797	-342.42484	1400000	5.912781e-09	6388.3896	-0.0025580975	-1611.6162	3.6688344	0.0108680315	0.1408	10.0	3590.8746988773346	1359
70	237.64307	403.21902	882.1723	-520.73334	1065.5555	19.508095	43.875156	112.96087	-363.61462	1420000	9.155274e-09	4983.7905	-0.0015316284	-2390.2285	3.6659305	0.009011997	0.12375	2.0	3635.4685645103455	1378
71	374.5321	396.76508	851.4314	-590.4712	1071.0	32.633774	36.767563	136.75761	-363.96475	1440000	-9.155274e-09	928.8634	-0.008838486	-667.41956	3.6647723	0.009395283	0.0642	79.0	3694.7529122829437	1397
72	360.51282	377.17438	653.8457	-601.8106	1098.5	39.4545	33.281	241.99104	-205.71858	1460000	0.0	1824.8969	-0.006391265	-711.3861	3.6374774	0.008587967	0.0823	79.0	3754.4484729766846	1416
73	283.44125	432.48273	775.8624	-600.0	1039.8948	38.924606	37.336132	141.55704	-152.58882	1480000	6.866455e-09	4609.966	-0.0082099885	-2922.579	3.6652067	0.007157736	0.09705	79.0	3814.0151019096375	1436
74	351.00327	364.63913	729.5173	-604.2482	1145.1177	27.785734	33.670605	138.50847	-318.6616	1500000	-3.0517577e-09	2224.965	-0.002553299	-1046.01	3.629567	0.013118306	0.15455	5.0	3859.0572094917297	1454
75	492.03986	269.64102	805.94586	-387.9095	1178.625	41.5017	32.849895	141.34636	-302.50604	1520000	6.866455e-09	1186.2705	-0.006811335	-338.5205	3.6636398	0.009651701	0.1186	79.0	3918.6349725723267	1471
76	578.9125	166.75403	744.699	0.06845094	1200.0	44.524258	38.889286	153.05887	-120.774376	1540000	6.1035155e-09	580.43427	-0.009781095	-358.25296	3.659614	0.012402637	0.1449	79.0	3978.3492047786713	1488
77	486.0756	355.82684	994.3396	-601.049	1154.8235	42.523132	43.136234	166.74814	-176.55357	1560000	-6.1035155e-09	526.82043	-0.0047473633	-333.22375	3.6301038	0.010954494	0.1007	6.0	4023.7734110355377	1506
78	541.7143	349.7469	942.2369	-523.56555	1134.5294	50.767284	39.22463	170.76112	-115.617546	1580000	3.0517577e-09	944.6605	-0.007130076	-235.20471	3.6178827	0.0106734065	0.13275	79.0	4083.6397309303284	1524
79	681.0901	276.0355	956.0742	4.134501	1200.0	51.147125	45.647644	176.29521	-47.675827	1600000	1.2207031e-08	301.94107	-0.005494565	-179.81305	3.6105258	0.007138591	0.0976	62.0	4139.731078386307	1541
80	802.95776	212.27031	1067.7191	153.79276	1200.0	68.81525	47.121403	192.82303	-104.861595	1620000	0.0	266.61487	-0.003523523	-135.41115	3.5844696	0.008751338	0.1046	1.0	4183.521768093109	1558
81	626.368	464.9868	971.6737	-524.29956	1102.4445	60.3366	48.760983	204.04042	-89.30938	1640000	-1.2207031e-08	2616.381	0.007378061	-680.93335	3.602924	0.045607097	0.4638	1.0	4227.743050098419	1577
82	661.57166	400.45956	1159.2454	-593.9023	1162.4117	63.48638	50.30586	215.62038	-198.28316	1660000	6.1035155e-09	1208.6433	-0.008683628	-800.7655	3.57645	0.007914328	0.08025	79.0	4287.621990919113	1595
