Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	N episodes
0	-199.23804	313.9314	185.9691	-613.1288	859.2727	0.11577815	0.20874335	2.119691	-1.8698193	20000	4.577637e-09	7452.032	0.008455761	-1671.166	4.5805902	0.03588069	0.352	1.0	44.65230083465576	23
1	-387.96225	270.2369	73.523964	-614.6155	663.3	-13.534855	21.4176	54.61822	-54.257496	40000	-9.155274e-09	14003.454	0.0016130143	-4201.5703	4.570198	0.0154911075	0.2132	1.0	88.49482202529907	54
2	-402.03082	248.6712	85.22949	-635.64233	689.62067	-25.581196	38.73771	103.194695	-103.53232	60000	-1.3351441e-08	11184.565	-0.0064078243	-2661.127	4.6175623	0.00666844	0.0557	79.0	146.60912466049194	84
3	-295.85092	318.62445	243.25911	-616.2608	739.14813	-20.137634	77.00466	137.94632	-138.46211	80000	0.0	9641.568	-0.006605153	-4017.5298	4.6084805	0.0067090746	0.0693	79.0	203.8805878162384	112
4	-243.57918	280.87106	113.49857	-606.99207	831.8333	-17.53613	51.31162	158.89073	-159.5058	100000	1.5258789e-09	3873.3171	-0.004548398	-809.2876	4.596584	0.013226908	0.15475	9.0	248.2795467376709	137
5	-143.79333	282.87924	185.6977	-612.0598	903.1429	-12.073808	46.565983	175.63747	-176.31096	120000	-3.8146974e-09	2448.6416	-0.0029126091	-449.37317	4.6233954	0.017763812	0.2118	6.0	292.1565387248993	159
6	-231.93999	322.55417	283.70422	-604.17786	867.913	-10.251823	45.723053	188.16833	-188.85463	140000	6.866455e-09	5365.6665	-0.0071918075	-1853.6501	4.6146946	0.0076251253	0.0966	79.0	349.9387674331665	183
7	-124.99972	493.84967	1594.5287	-605.83093	952.2857	-16.10779	52.356476	154.3459	-201.65213	160000	-6.1035155e-09	5937.0654	-0.0068595065	-1452.7002	4.5402274	0.008174683	0.1309	79.0	407.16551208496094	205
8	-76.426315	251.29343	168.34482	-618.16486	1035.1578	-7.6467767	47.14399	213.00366	-213.80234	180000	3.0517577e-09	1788.0319	-0.0069459504	-683.156	4.52169	0.008786305	0.0881	79.0	464.2517075538635	225
9	76.53713	91.31197	331.59915	0.0	1200.0	-3.1227376	36.76291	214.98756	-217.83438	200000	3.051758e-08	1034.3063	-0.007264258	-889.35645	4.489072	0.011103092	0.08155	79.0	522.3527476787567	242
10	-27.948353	237.73224	313.85367	-602.36945	1123.7646	-3.7159905	40.89813	186.28052	-207.61258	220000	1.525879e-08	2852.2312	-0.006024124	-1991.8237	4.4726725	0.008253431	0.09065	79.0	579.318060874939	260
11	105.369225	231.3327	354.02652	-552.13556	1107.7646	2.7958574	31.811945	219.1228	-221.90936	240000	3.8146974e-09	1883.6082	-0.0022986648	-1063.1553	4.4712853	0.0116987275	0.1612	4.0	622.1446442604065	278
12	-2.4544256	357.86737	362.28265	-596.4876	1054.2222	12.525363	16.927628	68.49592	-173.62794	260000	6.1035155e-09	4576.152	-0.0023927642	-2441.5789	4.4703016	0.02024697	0.25315	3.0	664.8560407161713	297
13	-23.73889	278.93945	423.72754	-604.7577	1065.9445	7.4077444	18.904171	231.5807	-90.527306	280000	1.2207031e-08	2435.6687	-0.005491388	-456.80286	4.4833655	0.009454991	0.1065	79.0	721.8138451576233	316
14	50.65655	156.3561	160.89899	-545.4873	1146.7646	2.5431066	19.383617	108.29614	-210.78719	300000	-1.373291e-08	1266.914	-0.005338988	-820.43066	4.5000734	0.009254002	0.09005	79.0	779.0023484230042	334
15	73.85388	199.32205	299.86667	-603.8064	1136.6471	9.769365	23.520498	229.86702	-33.06875	320000	7.629395e-09	1273.7328	-0.0026300584	-395.62738	4.4737334	0.017022466	0.1833	3.0	822.0293598175049	352
16	-77.3999	305.24338	244.23706	-600.66156	923.1429	7.708086	23.624374	220.34229	-207.78615	340000	-6.1035155e-09	4540.117	-0.0009077026	-1965.9338	4.465175	0.018466566	0.23435	1.0	866.2109105587006	374
17	98.447914	147.02754	278.83997	-439.93634	1175.5294	6.325017	14.032241	239.77498	-201.25218	360000	-6.1035155e-09	888.8465	-0.0014466996	-586.38965	4.4657845	0.019362692	0.2372	3.0	909.0424332618713	392
18	81.617226	258.06506	338.9646	-600.44116	1141.0	4.070556	37.959984	206.18944	-243.8871	380000	-1.2969971e-08	1114.3387	-0.00086277997	-469.28082	4.4650908	0.011690141	0.1298	4.0	952.0308635234833	410
19	43.54584	181.27011	239.10602	-624.98016	1130.3529	6.5240755	14.59865	233.63722	-148.37094	400000	-1.449585e-08	417.43842	-0.0014342258	-162.02527	4.4733677	0.020304456	0.2302	2.0	994.5856699943542	428
20	-16.00208	274.62137	271.01154	-619.0455	1040.8422	6.0469866	17.27511	116.56506	-232.18132	420000	2.5939942e-08	2613.328	-0.0025727614	-653.05493	4.467754	0.014357299	0.2044	3.0	1037.8606145381927	448
21	-10.1241665	208.04716	163.84021	-517.0476	1119.4706	2.9249387	20.247372	119.72284	-186.65468	440000	-4.577637e-09	1870.8988	-0.0024220038	-931.6009	4.4818487	0.01826089	0.2147	3.0	1080.775738477707	466
22	-151.44403	323.39294	187.26317	-610.1302	943.0952	-9.815341	48.667572	228.48836	-258.45728	460000	-3.8146974e-09	3481.3152	-0.0011096405	-1570.7416	4.480457	0.023304682	0.2612	2.0	1123.8355295658112	488
23	-66.47173	250.64772	169.78134	-599.3061	1124.8823	-3.2535324	26.409412	236.2497	-265.84927	480000	1.373291e-08	2710.9038	-0.007316615	-1062.6228	4.4628406	0.010524707	0.12395	79.0	1180.8309655189514	506
24	112.114235	140.9474	303.9657	-394.6142	1152.1765	2.4323025	29.546644	253.51604	-276.2678	500000	1.2207031e-08	452.5892	-0.0063785217	-331.43	4.5066786	0.009112097	0.1167	79.0	1237.539793252945	524
25	-41.042545	308.27405	340.80475	-604.2092	944.1	-1.3501785	38.27506	254.76312	-279.31927	520000	-7.629395e-09	1293.4998	-0.008895645	-602.68024	4.498525	0.009414814	0.0903	79.0	1294.7541937828064	545
26	86.67266	128.48502	233.16048	-377.7301	1151.3529	6.335981	27.120022	274.0944	-290.91534	540000	3.0517577e-09	278.12674	-0.0086878175	-157.47441	4.5050507	0.0091795605	0.0888	79.0	1352.370869398117	563
27	-2.5789719	240.59084	192.02016	-589.71576	1095.3889	7.237444	15.52874	254.6574	-292.91025	560000	-1.525879e-08	2039.2924	-0.007213565	-295.3203	4.5320616	0.008341614	0.06925	79.0	1410.6320464611053	582
28	-20.264957	299.44006	351.55423	-602.53864	1078.4445	8.002897	15.072716	264.18536	-277.6307	580000	9.155274e-09	2536.3857	-0.007085425	-1155.0671	4.573168	0.006833087	0.0805	79.0	1468.1191802024841	601
29	-98.290054	318.2909	280.79288	-603.9483	998.8	-9.315589	59.446365	263.12668	-298.1621	600000	-6.1035155e-09	3721.5332	-0.008163647	-2253.0674	4.5697575	0.007994307	0.0851	79.0	1525.9456572532654	622
30	-56.82732	322.64062	394.5515	-603.7485	1030.6316	2.1818414	38.92229	226.76935	-291.6199	620000	-4.9591065e-09	3305.6677	-0.007256882	-2358.6328	4.531497	0.008775911	0.0928	79.0	1583.6665978431702	642
31	-55.02769	261.38275	263.75714	-550.6897	1098.6666	4.3233595	54.302696	266.11057	-310.0275	640000	-4.577637e-09	3661.6792	-0.009248514	-2221.8628	4.539535	0.0077557173	0.09715	79.0	1641.4439482688904	661
32	-97.030334	327.05872	302.29822	-612.983	956.45	-9.126723	50.347023	192.23196	-329.3174	660000	-7.629395e-09	1913.4452	-0.009499498	-1290.815	4.5611897	0.009431912	0.12405	79.0	1698.8183686733246	682
33	14.1756525	287.947	391.5326	-605.44086	1095.2778	-7.652657	56.863556	198.70708	-338.52905	680000	1.8310548e-08	1408.3156	-0.006817868	-1042.7559	4.552053	0.009094949	0.11945	79.0	1756.3396210670471	701
34	9.223844	273.12488	321.1944	-613.4523	1043.2106	6.0418763	26.603382	208.02612	-337.99628	700000	-9.155274e-09	1131.2837	-0.005978882	-732.16565	4.4889517	0.004409986	0.0621	79.0	1813.5792417526245	721
