Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-179.007	7.78452	-165.437	-184.989	-667.428	2.82085	-661.998	-671.553	1000.0	1000.0	5000	11.643	8.22359	34.3896	-0.754923	-13.0176	0.22139	21.54100465774536
2	-138.113	69.6734	1.09257	-177.375	-637.541	35.4088	-587.816	-689.862	800.4	1000.0	10000	39.182	8.21735	67.2576	9.89859	-41.0689	0.799571	40.01522636413574
3	-360.043	173.464	-137.077	-568.432	-1701.46	8.39863	-1688.67	-1716.93	1000.0	1000.0	15000	56.6888	4.59358	77.4095	35.1353	-57.7281	1.45562	69.10506653785706
4	-571.408	547.513	-54.9677	-1611.7	97.393	38.968	183.903	49.8062	1000.0	1000.0	20000	54.7562	3.09769	72.3122	35.3149	-55.3951	0.950973	93.19930386543274
5	58.7495	385.343	352.559	-685.239	771.879	597.781	1226.16	-768.552	1000.0	1000.0	25000	52.023	3.90273	71.9307	26.1543	-52.8012	1.04021	118.03346967697144
6	269.428	858.784	1086.89	-1206.34	-332.636	480.492	830.774	-868.485	1000.0	1000.0	30000	53.7298	9.61458	87.7871	5.45639	-54.6498	1.72319	157.23065781593323
7	475.868	524.901	1123.39	-346.377	711.914	904.973	1468.0	-793.754	1000.0	1000.0	35000	61.1433	15.6415	101.722	-2.50879	-62.1988	2.74028	183.5501458644867
8	105.365	887.641	1193.82	-796.334	1332.13	329.731	1610.03	412.226	1000.0	1000.0	40000	69.5815	20.1641	107.068	-2.39227	-70.6773	3.31265	217.71374464035034
9	1298.46	87.5702	1432.34	1193.59	1500.86	118.161	1645.59	1296.62	1000.0	1000.0	45000	79.0401	22.4272	124.616	-2.09906	-80.1437	3.71007	243.52061104774475
10	1378.17	36.4086	1444.12	1341.15	1377.78	478.667	1673.6	-28.0701	1000.0	1000.0	50000	90.7775	23.9837	138.44	-0.530353	-91.8726	3.94637	270.72206807136536
11	1494.97	107.67	1624.05	1329.32	1605.23	101.554	1723.5	1367.74	1000.0	1000.0	55000	101.707	23.9045	147.867	5.06685	-102.747	4.0808	295.4634382724762
12	1588.67	139.073	1806.7	1418.87	1780.13	91.8237	1984.12	1678.11	1000.0	1000.0	60000	111.673	23.229	157.578	14.9187	-112.689	4.19498	319.5779974460602
13	1748.33	56.2257	1821.94	1677.82	1983.56	51.4627	2051.41	1906.14	1000.0	1000.0	65000	121.359	22.9157	168.136	25.0222	-122.369	4.23237	343.60899114608765
14	1278.41	1180.72	1943.23	-1079.29	1738.97	467.939	2061.55	370.467	1000.0	1000.0	70000	130.434	24.1687	179.719	35.3383	-131.434	4.49941	367.52920603752136
15	1368.76	894.772	1934.81	-402.959	2023.53	151.77	2236.46	1729.88	1000.0	1000.0	75000	138.935	26.7979	189.988	38.3294	-139.964	5.01714	391.63626432418823
16	1603.06	566.996	1977.32	476.845	2006.65	86.3254	2115.52	1867.47	1000.0	1000.0	80000	146.428	29.4378	199.094	43.1205	-147.449	5.61931	415.7805199623108
17	2012.24	85.2614	2142.34	1882.16	2208.94	85.6618	2350.52	2096.14	1000.0	1000.0	85000	154.658	30.8569	211.866	47.0844	-155.678	5.66363	440.21301531791687
18	2078.98	79.552	2225.95	1984.13	2012.34	81.9195	2158.53	1888.19	1000.0	1000.0	90000	162.627	31.5691	215.854	52.2811	-163.647	5.8249	464.55528593063354
19	2128.3	123.604	2254.97	1914.16	2334.69	154.71	2483.1	1961.08	1000.0	1000.0	95000	170.948	32.602	222.011	54.9613	-172.002	5.9878	488.8317449092865
20	2176.34	141.025	2422.34	2025.81	2394.26	63.5393	2502.5	2297.28	1000.0	1000.0	100000	179.3	32.8479	233.196	57.2825	-180.355	6.21958	513.3333699703217
21	2216.62	129.468	2390.53	2047.07	2263.18	53.3562	2348.95	2186.43	1000.0	1000.0	105000	187.308	32.1908	239.776	65.6103	-188.348	5.98024	537.5659589767456
22	2207.04	110.894	2359.59	2082.13	2164.75	539.757	2487.55	568.507	1000.0	1000.0	110000	194.354	31.6104	247.605	70.1128	-195.384	6.18656	562.1521821022034
23	2202.59	69.4329	2319.21	2132.73	2410.52	82.9874	2566.63	2257.45	1000.0	1000.0	115000	200.589	31.3308	256.263	76.8112	-201.612	6.21092	586.3355386257172
24	1816.28	789.731	2333.05	244.841	2456.28	70.2406	2574.91	2361.17	1000.0	1000.0	120000	205.762	31.19	259.154	81.2964	-206.736	6.62493	610.9479327201843
25	2171.75	401.665	2421.82	1371.08	1669.22	1093.46	2475.31	-830.96	1000.0	1000.0	125000	209.189	32.5611	268.574	77.7839	-210.162	7.34263	635.2776253223419
26	2251.67	48.7774	2330.4	2197.64	2308.75	440.818	2610.33	1015.78	1000.0	1000.0	130000	213.77	31.7429	272.515	80.5891	-214.757	7.07551	659.6205670833588
27	2339.25	114.848	2459.45	2124.87	2424.75	107.465	2558.01	2258.64	1000.0	1000.0	135000	217.88	31.0854	276.11	81.3045	-218.83	7.2287	684.1231639385223
28	2345.26	91.4975	2436.86	2174.26	2233.01	531.593	2701.85	677.746	1000.0	1000.0	140000	221.346	29.7298	275.815	84.8178	-222.288	7.53665	708.3465304374695
29	2221.31	342.916	2461.4	1545.97	2315.59	156.715	2524.36	1919.72	1000.0	1000.0	145000	224.136	29.1704	280.803	82.4588	-225.038	7.27558	732.8729658126831
30	2371.53	140.363	2530.14	2134.58	2557.4	183.467	2817.91	2194.13	1000.0	1000.0	150000	226.273	30.2963	282.959	71.4897	-227.155	7.57444	757.2582197189331
31	2282.52	96.2607	2426.79	2169.07	2587.98	126.405	2749.89	2296.8	1000.0	1000.0	155000	228.409	30.8756	284.977	66.955	-229.285	7.83238	781.7052233219147
32	2406.96	182.15	2747.36	2207.49	2513.56	283.72	2744.46	1693.96	1000.0	1000.0	160000	230.874	31.2461	287.69	63.3492	-231.738	7.86976	806.4207434654236
33	2389.3	24.7253	2412.9	2347.79	2003.26	1010.18	2643.62	-695.425	1000.0	1000.0	165000	233.293	31.638	289.52	60.8946	-234.164	8.1339	830.8400504589081
34	2367.5	92.3182	2548.89	2297.12	2497.96	110.789	2706.84	2318.49	1000.0	1000.0	170000	235.69	31.4273	296.585	57.7952	-236.548	7.91896	855.3063178062439
35	2423.68	140.716	2597.19	2184.92	2596.97	116.492	2740.76	2312.08	1000.0	1000.0	175000	237.823	31.3614	299.121	65.2837	-238.674	7.69004	879.6720855236053
36	2438.15	150.512	2706.62	2247.2	2386.51	754.273	2917.89	147.156	1000.0	1000.0	180000	239.943	31.0269	297.324	66.5906	-240.787	8.19044	904.5659756660461
37	2540.43	52.7719	2620.74	2480.36	1956.22	1105.26	2899.83	27.0258	1000.0	1000.0	185000	242.059	30.655	301.013	69.5565	-242.898	7.766	929.3922486305237
38	2580.46	129.771	2752.24	2372.64	2635.58	226.572	2938.92	2057.22	1000.0	1000.0	190000	243.888	30.1187	301.371	71.5906	-244.719	7.83147	953.9944033622742
39	2683.88	128.461	2895.38	2548.77	2369.03	855.269	2864.18	44.729	1000.0	1000.0	195000	245.93	29.9546	307.763	75.9053	-246.757	8.12092	978.6360909938812
40	2640.55	72.3701	2714.01	2515.52	2508.78	357.286	2764.87	1471.22	1000.0	1000.0	200000	247.901	30.0275	305.433	78.6429	-248.719	8.04497	1003.3867521286011
41	2485.45	95.6299	2608.53	2327.08	2238.81	638.506	3019.58	1043.86	1000.0	1000.0	205000	249.94	29.8996	309.279	79.4774	-250.762	8.24139	1027.7246997356415
42	2154.91	986.816	2729.6	186.599	2521.07	884.481	2948.37	-115.841	1000.0	1000.0	210000	251.695	30.195	311.818	74.3397	-252.5	8.32722	1052.401804447174
43	2593.24	107.685	2739.7	2414.02	2472.42	546.585	2931.49	1101.24	1000.0	1000.0	215000	253.185	31.9175	312.704	62.1364	-253.997	8.43175	1076.9552171230316
44	2457.79	455.031	2876.33	1600.41	2569.79	519.511	2878.0	1053.64	1000.0	1000.0	220000	255.268	32.8227	314.683	60.4887	-256.096	8.89091	1101.5563349723816
45	2668.98	132.011	2870.83	2476.19	2631.26	288.037	2892.4	1818.92	1000.0	1000.0	225000	257.859	33.2216	315.117	53.5248	-258.713	9.1082	1126.1016318798065
46	2697.71	94.7039	2792.24	2571.57	2440.38	690.801	3071.68	920.165	1000.0	1000.0	230000	260.578	33.1125	321.747	47.7629	-261.435	8.59993	1150.8025197982788
47	2576.01	357.147	2908.85	1891.43	2772.76	131.58	3033.73	2581.32	1000.0	1000.0	235000	263.47	32.642	322.2	50.2441	-264.329	8.87083	1175.382004737854
48	2729.68	183.123	2942.47	2409.91	2325.39	1086.56	3020.88	-370.846	1000.0	1000.0	240000	265.61	32.1564	324.58	52.206	-266.46	8.85139	1200.2984583377838
49	2739.61	80.5909	2859.11	2639.0	2989.87	185.94	3294.43	2691.51	1000.0	1000.0	245000	267.626	31.8832	331.636	63.9772	-268.469	8.54483	1224.9553017616272
