Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time	N episodes
1	-176.974	10.1647	-163.05	-188.47	-587.29	5.16513	-577.395	-594.535	1000.0	1000.0	5000	3.61514	3.30264	20.9896	-1.98983	-4.33248	0.090572	59.41183924674988	5
2	-139.919	69.6511	-0.828448	-179.013	-598.49	8.75015	-587.705	-610.68	800.4	1000.0	10000	36.9489	17.9038	82.1263	-1.86742	-40.4911	0.744718	108.9390389919281	10
3	-463.378	313.537	-117.627	-992.554	-573.096	2.07607	-570.148	-577.013	1000.0	1000.0	15000	106.263	19.5465	162.414	-5.69784	-110.079	3.56998	171.6873059272766	15
4	-187.392	282.21	199.655	-535.149	-606.397	164.83	-286.799	-754.243	1000.0	1000.0	20000	134.472	5.47888	214.563	-24.3247	-136.422	4.09192	234.31315636634827	20
5	-505.042	58.6552	-422.299	-585.613	-469.266	182.166	-30.3046	-661.913	1000.0	1000.0	25000	137.683	7.07835	193.816	-26.2139	-138.888	3.58249	297.21046590805054	25
6	-461.276	96.3414	-350.485	-578.616	-182.004	184.859	287.913	-319.655	1000.0	1000.0	30000	120.012	6.60858	162.784	-45.3797	-120.733	2.29919	358.27944231033325	30
7	20.1743	375.902	761.68	-228.269	1151.11	481.19	1589.33	-140.198	1000.0	1000.0	35000	104.441	9.69648	175.621	-28.5497	-105.203	2.07227	418.9255859851837	35
8	1412.54	61.0308	1509.68	1329.05	1859.98	60.7478	1957.68	1755.0	1000.0	1000.0	40000	97.343	13.2421	148.468	-65.419	-98.3731	2.34399	479.4016511440277	40
9	1382.72	605.731	1771.07	187.463	1967.74	62.5959	2059.56	1823.31	1000.0	1000.0	45000	103.745	21.6683	167.392	-40.0327	-104.981	2.83091	543.289591550827	45
10	1911.34	104.931	2098.15	1774.99	2274.66	105.095	2407.61	2083.44	1000.0	1000.0	50000	115.66	32.0446	187.474	-54.4911	-117.07	3.9192	605.8761193752289	50
11	2282.73	140.643	2491.17	2136.65	2233.66	146.904	2430.15	1916.55	1000.0	1000.0	55000	135.761	37.306	210.778	-25.8231	-137.43	4.21518	668.4644949436188	55
12	2232.45	115.692	2414.19	2105.28	2661.35	182.787	2855.0	2238.7	1000.0	1000.0	60000	156.518	38.6904	233.355	-9.20907	-158.093	4.25762	731.4608798027039	60
