Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-518.891	57.6719	-461.397	-594.889	1000.0	0.00143697	0.487653	1.50322	-1.61888	4000	-2.12193e-08	629.685	-0.0181644	-196.011	5.48748	0.0174909	0.24575	5.0	3.7212607860565186
1	-413.481	30.8839	-366.519	-446.666	1000.0	7.26134	6.98899	13.2665	-13.0049	8000	1.43051e-09	234.69	-0.0160486	-42.6841	5.46194	0.016031	0.226	9.0	7.957154750823975
2	-413.557	46.3109	-342.836	-460.837	1000.0	7.59541	6.91558	14.0701	-13.1072	12000	1.71661e-08	275.759	-0.0124333	-41.6481	5.49102	0.0198242	0.2365	7.0	12.22712516784668
3	-397.503	43.6213	-335.965	-458.983	1000.0	8.6039	9.33034	15.3475	-14.8743	16000	1.64509e-08	242.989	-0.0162099	-38.9845	5.4769	0.0175956	0.24925	9.0	16.79422426223755
4	-366.925	24.9471	-324.373	-387.597	1000.0	9.07159	4.98431	13.4018	-11.8409	20000	1.74046e-08	131.501	-0.0137414	-5.8241	5.48017	0.0196582	0.23175	7.0	21.194610834121704
5	-353.494	51.9452	-277.814	-421.254	1000.0	7.16689	6.25271	13.7715	-11.1711	24000	3.57628e-09	586.148	-0.0156332	-64.6599	5.44535	0.0160212	0.2755	9.0	25.64600968360901
6	-297.514	67.489	-253.693	-414.272	1000.0	14.4798	6.95233	18.1346	-16.9528	28000	-1.57356e-08	365.411	-0.0182087	-41.6773	5.45954	0.0180114	0.29575	10.0	30.223755836486816
7	-252.344	11.967	-233.481	-264.605	1000.0	14.4754	3.14855	18.0478	-10.5191	32000	-6.55651e-10	115.774	-0.0123696	-29.0645	5.45088	0.0202682	0.23	7.0	34.61086344718933
8	-257.508	6.51536	-248.593	-266.711	1000.0	16.1009	2.07048	20.9285	4.23009	36000	-1.28746e-08	83.772	-0.0145845	-12.5971	5.46486	0.0189799	0.265	8.0	38.76637244224548
9	-238.502	23.1751	-199.909	-261.675	1000.0	13.9866	2.88327	21.1138	0.941381	40000	1.03116e-08	102.967	-0.017175	-14.1935	5.4194	0.0186031	0.293	8.0	43.270012855529785
10	-213.267	28.9396	-163.343	-232.388	1000.0	16.8219	2.41921	24.038	-6.06406	44000	4.52995e-09	108.337	-0.0147912	-6.86292	5.42437	0.0170148	0.26125	8.0	46.76579570770264
11	-213.51	37.3636	-153.997	-251.854	1000.0	15.3336	2.60131	24.6873	-4.9006	48000	-2.02656e-08	102.029	-0.015763	-11.3097	5.42101	0.0202675	0.2835	8.0	51.40575671195984
12	-163.805	5.51177	-154.745	-168.463	1000.0	18.0637	2.48665	26.4491	-2.45924	52000	-5.24521e-09	119.55	-0.0126561	-11.6617	5.32608	0.0197044	0.2375	7.0	55.71848177909851
13	-215.604	42.1828	-175.019	-278.318	1000.0	21.3821	3.2453	28.7628	-1.61705	56000	1.43051e-09	404.62	-0.0122676	-195.18	5.39579	0.0196673	0.23025	7.0	60.171183347702026
14	-146.653	19.2685	-114.063	-164.267	1000.0	16.7244	6.25092	25.5336	-23.9926	60000	-9.05991e-09	152.982	-0.0122094	-51.1331	5.34043	0.0184777	0.242	8.0	63.37726950645447
15	-124.066	7.74444	-114.498	-134.02	1000.0	21.1978	3.60987	26.7694	-20.211	64000	-2.14577e-09	111.948	-0.0141964	-15.8625	5.38961	0.0174721	0.2435	8.0	66.55981254577637
16	-111.72	18.9718	-83.6292	-136.8	1000.0	24.0613	2.18275	27.6849	-5.03842	68000	3.02792e-08	118.303	-0.0124368	-6.66473	5.34468	0.0178947	0.20275	7.0	70.80803442001343
17	-87.6414	35.9984	-49.9251	-147.017	1000.0	23.2656	2.69315	28.5755	10.8381	72000	-1.50204e-08	113.134	-0.0192677	-5.86427	5.28975	0.0155479	0.212	12.0	75.09764671325684
18	-124.88	31.0215	-74.2463	-152.995	1000.0	25.2616	2.56635	29.7133	0.986304	76000	-1.21593e-08	184.802	-0.0155661	-52.4017	5.3156	0.0203	0.235	8.0	79.56707310676575
19	-78.986	15.8844	-57.2726	-102.152	1000.0	20.3703	4.82511	26.2253	-14.1466	80000	8.10623e-09	151.095	-0.0466496	-31.9174	5.25789	0.0102242	0.167	79.0	83.46736884117126
20	-82.6801	30.7867	-57.0692	-135.282	1000.0	25.0483	5.14927	29.2245	-15.5331	84000	-2.47955e-08	185.897	-0.0145415	-27.0226	5.21938	0.0160738	0.19625	8.0	88.27368426322937
21	-41.7361	20.3238	-14.3347	-71.4425	1000.0	22.998	7.95921	28.4376	-27.4821	88000	2.81334e-08	206.084	-0.0472849	-51.9954	5.24492	0.00837031	0.18725	79.0	92.16170048713684
22	-19.9592	36.2041	27.7946	-73.6385	1000.0	28.8663	3.74874	32.0287	-13.177	92000	-7.7486e-09	173.881	-0.0177078	-8.8629	5.17117	0.0169533	0.253	8.0	96.63480019569397
23	-10.3069	25.2779	15.1326	-45.7334	1000.0	28.6543	4.91013	33.2529	-14.7691	96000	-1.12057e-08	114.439	-0.0155992	-7.16605	5.1648	0.0210491	0.2655	6.0	100.65278792381287
24	33.4469	33.8362	75.2067	-15.572	1000.0	30.1804	2.75447	33.7107	14.4907	100000	2.94447e-08	252.673	-0.0106703	-22.9617	5.13669	0.0168568	0.26425	5.0	103.80646252632141
25	10.6573	52.4603	52.7583	-78.9491	1000.0	32.0073	4.35377	37.1308	0.880117	104000	-3.8147e-09	412.451	-0.0165021	-158.033	5.16927	0.0171065	0.224	9.0	107.0149130821228
26	92.3265	35.5408	127.049	39.5624	1000.0	32.4178	7.96896	37.3835	-26.7638	108000	2.98023e-08	232.756	-0.0494067	-80.9407	5.10586	0.00476795	0.20375	79.0	110.88615655899048
27	62.7558	24.186	92.4556	25.3861	1000.0	36.8301	3.91936	40.1213	-4.1715	112000	1.90735e-09	215.185	-0.0137678	-38.6003	5.06772	0.0173751	0.202	7.0	115.38448572158813
28	86.4651	30.3172	138.202	62.9159	1000.0	33.2389	6.04649	38.6185	-12.6601	116000	5.24521e-09	156.893	-0.0149156	-14.2128	5.00685	0.0152436	0.2565	7.0	118.57719898223877
29	94.1305	36.4784	149.818	53.5207	1000.0	35.2971	4.29819	40.0519	-3.57264	120000	1.23978e-08	213.117	-0.0128535	-17.6326	5.07014	0.0192073	0.25575	5.0	122.99915552139282
30	107.694	30.3599	142.506	63.9096	1000.0	33.4172	4.10688	39.7916	0.652196	124000	1.0252e-08	168.44	-0.0155301	-18.6879	4.99751	0.0171443	0.21825	7.0	126.47094011306763
31	88.015	45.1915	138.674	25.9643	1000.0	35.9335	4.82612	41.5918	3.65343	128000	-2.0504e-08	212.347	-0.0115104	-47.7715	5.01607	0.0170223	0.19225	5.0	129.6032235622406
32	126.536	14.6548	151.413	115.109	1000.0	33.297	6.22624	40.3995	-23.4778	132000	-9.41753e-09	149.275	-0.0113355	-29.1842	5.00975	0.0154924	0.22	5.0	134.06554746627808
