Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	LossV	Time	N episodes
1	-310.422	48.4135	-223.255	-351.53	-236.769	1.03088	-235.642	-239.109	1000.0	1000.0	5000	6.93473	5.02683	21.904	-5.07856	6.93477	5.02667	21.8588	-5.0772	7.86651	5.00355	21.9706	-5.25873	-2.66836	2.08432	46.9295	-12.538	-8.09936	0.117829	0.117046	0.213692	135.8702359199524	5
2	-252.777	64.4322	-203.341	-379.713	-140.096	8.70171	-128.737	-153.102	1000.0	1000.0	10000	22.634	5.90874	40.738	1.27428	22.6341	5.90922	40.7139	0.169814	23.7418	5.7846	40.7272	3.35095	-2.13132	1.99559	16.9684	-12.894	-24.0795	0.109159	0.104865	0.176331	266.30019783973694	10
3	188.008	318.722	617.377	-282.5	936.974	10.427	946.465	913.509	1000.0	1000.0	15000	34.1126	7.78626	54.2353	15.296	34.1126	7.78661	54.5071	15.0383	35.0235	7.74462	54.0207	19.6699	-2.4142	1.86099	12.025	-13.1889	-35.3744	0.111458	0.107401	0.211611	395.19097924232483	15
4	408.646	364.539	842.32	-138.522	202.332	198.218	736.351	46.4565	1000.0	1000.0	20000	42.455	11.6377	73.0564	21.9306	42.455	11.6377	72.4359	21.9073	43.2944	11.6135	72.266	23.4655	-2.26261	2.05308	14.2546	-14.0865	-43.6645	0.122609	0.120844	0.237417	539.6335246562958	20
5	1273.84	329.065	1732.35	786.782	1964.05	29.7162	2000.02	1916.04	1000.0	1000.0	25000	54.4134	18.4602	94.9301	25.3004	54.4135	18.4601	94.8676	25.0885	55.3016	18.4387	94.6651	26.6366	-1.76664	2.42171	14.7606	-13.1443	-55.7195	0.208803	0.209914	0.349954	676.9235019683838	25
6	1925.39	116.563	2094.13	1746.93	2425.64	14.1737	2453.64	2406.54	1000.0	1000.0	30000	72.4122	26.9703	119.161	28.4029	72.4122	26.9705	119.135	28.8456	73.3192	26.8751	118.131	30.6377	-1.29888	2.66676	17.4673	-14.6396	-73.7768	0.267699	0.264083	0.448067	804.6189110279083	30
7	2202.2	103.318	2354.52	2070.38	2730.48	15.6111	2745.84	2691.7	1000.0	1000.0	35000	92.7549	34.7178	143.582	30.7265	92.7549	34.7183	143.056	31.3477	93.6363	34.5736	142.517	32.8831	-0.886358	2.83346	20.2814	-13.9363	-94.143	0.370128	0.365173	0.571101	932.7868249416351	35
8	2473.71	64.84	2567.3	2392.13	3229.29	18.7841	3270.24	3201.75	1000.0	1000.0	40000	113.219	42.3698	168.386	31.8534	113.219	42.37	167.928	31.9804	114.09	42.2147	167.395	33.0617	-0.573877	2.90736	24.376	-14.3271	-114.641	0.495108	0.482838	0.712168	1057.964809179306	40
9	2799.7	111.036	2931.49	2643.94	2775.77	165.805	2979.7	2423.68	1000.0	1000.0	45000	134.057	49.4147	193.231	31.331	134.057	49.4151	194.033	31.2216	134.919	49.2412	192.294	32.9981	-0.298109	2.91223	24.1615	-14.6929	-135.502	0.687092	0.669166	0.880273	1183.342033147812	45
10	2998.47	55.9697	3060.96	2904.1	3515.68	15.1464	3535.24	3478.86	1000.0	1000.0	50000	154.965	55.7859	216.568	31.2471	154.966	55.7864	216.156	31.6231	155.85	55.5895	214.78	32.5487	-0.0173293	2.97606	22.4572	-14.0366	-156.467	0.81485	0.787417	1.01298	1308.3136944770813	50
