Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	LossV	Time
1	-315.534	108.118	-182.059	-474.516	-488.122	71.4701	-338.63	-591.23	1000.0	1000.0	5000	4.6553	4.44057	23.5063	-5.10663	4.65462	4.44328	24.2832	-5.19034	5.557	4.45718	24.1849	-10.9424	-2.11918	2.73777	91.576	-14.3438	-5.70424	0.2936	0.285072	0.220235	26.224459886550903
2	-300.282	46.0621	-248.957	-387.142	-170.916	1.06654	-168.819	-172.632	1000.0	1000.0	10000	22.4753	11.3474	70.3873	-1.4859	22.4766	11.3495	69.6923	-0.997033	23.7598	11.5088	65.4352	-0.520604	-1.56063	2.53911	32.1415	-16.8524	-24.0403	0.904961	0.87965	0.398353	53.66873478889465
3	-226.318	50.9529	-174.33	-316.608	-56.5764	5.69076	-48.0125	-64.4405	1000.0	1000.0	15000	33.3341	7.58678	64.2766	15.312	33.3342	7.58693	63.8715	15.1955	34.202	7.47422	64.701	16.997	-2.34209	1.94953	10.5004	-14.9218	-34.5158	0.437148	0.440396	0.311414	80.85220098495483
4	-209.567	65.2642	-139.18	-332.472	-7.87724	1.27577	-4.81958	-9.70333	1000.0	1000.0	20000	36.1245	5.79997	60.0942	22.0082	36.1245	5.79789	61.1637	21.9359	36.8377	5.82642	60.5017	22.9422	-2.84718	1.67117	9.10051	-11.656	-37.1586	0.411597	0.424509	0.312526	108.19887161254883
5	250.863	228.306	577.332	21.0262	0.968199	13.3282	23.5953	-12.6782	1000.0	1000.0	25000	37.8172	6.88776	62.381	22.9853	37.8173	6.88568	62.2084	22.8071	38.4833	6.91031	61.4913	23.287	-3.02343	1.50093	9.43214	-13.0165	-38.8104	0.456047	0.4738	0.340326	136.23377442359924
6	923.319	168.004	1170.76	667.164	1798.01	14.5779	1817.79	1776.82	1000.0	1000.0	30000	43.3343	10.8656	76.3458	24.2709	43.3344	10.8655	75.6567	23.8984	43.9918	10.8056	75.5036	24.9964	-2.67805	1.71512	9.68683	-15.0678	-44.3303	0.509235	0.520303	0.378558	163.48109769821167
7	1295.73	699.94	1957.42	-63.3673	2014.79	856.615	2878.46	195.757	1000.0	1000.0	35000	53.0025	17.6188	99.9886	27.1778	53.0025	17.619	100.917	26.7009	53.7152	17.5311	99.7191	27.1389	-1.81028	2.34996	14.5777	-15.5211	-54.0858	0.702317	0.710908	0.512726	190.76818680763245
8	1550.58	696.672	1945.99	158.891	2778.0	38.6026	2828.81	2717.49	1000.0	1000.0	40000	63.8684	25.4804	123.724	27.2772	63.8687	25.4807	124.218	27.2109	64.592	25.3822	122.847	28.1953	-1.31666	2.61286	15.1213	-15.3168	-65.0099	0.965391	0.976704	0.665363	218.11395907402039
9	1876.73	572.981	2479.65	1156.35	3105.78	45.9615	3167.95	2991.01	1000.0	1000.0	45000	77.2498	33.5065	147.955	25.6113	77.2503	33.5059	149.413	25.7054	77.9531	33.3655	146.302	26.7203	-0.826143	2.80045	19.5351	-15.0501	-78.4323	1.21746	1.22744	0.82199	245.56664991378784
10	2670.72	146.6	2928.44	2475.27	3494.58	57.7813	3565.87	3409.13	1000.0	1000.0	50000	91.7202	41.5762	171.577	25.4901	91.7206	41.5757	171.609	24.5923	92.3937	41.387	170.775	25.4743	-0.396228	2.96545	18.4262	-13.5149	-92.9181	1.48511	1.52078	1.0263	272.93671584129333
